food_item,gdqs_category,mdd_adult,mdd_child,phdi_category,gdr_category,species,Edible conversion factor,Energy(kJ),Energy (kcal),Water(g),Protein(g),Fat(g),Carbohydrate available (g),Fibre(g),Ash(g),Ca(mg),Fe(mg),Mg(mg),P(mg),K(mg),Na(mg),Zn(mg),Se(mcg),Vit A-RAE(mcg),Vit A-RE(mcg),Retinol (mcg),b-carotene equivalent (mcg),Thiamin (mg),Riboflavin (mg),Niacin(mg),Dietary Folate Eq.(mcg),Food folate (mcg),Vit B12 (mcg),Vit C(mg)
"Salt (jumvi), Iodized",No GDQS Assignment,Others,Others,No PHDI Assignment,No GDR Assignment,No Species Assignment,1,0,0,0.2,0,0,0,0,99.8,32,0.1,1,6,98,38500,0.1,2,0,0,0,0,0,0,0,0,0,0,0
"Scone, plain, commercial",Refined Grains And Baked Goods,"Grains, White Roots And Tubers And Plantains","Grains, White Roots And Tubers And Plantains",No PHDI Assignment,Baked/Grain-Based Sweets,Wheat,1,1570,375,21,7.5,15,51.4,2.1,3,56,1.5,15,107,128,800,0.7,2,95,102,87,90,0.09,0.1,0.5,19,19,0.4,0
Small Sweets,Sweets And Ice Cream,Others,Others,Added Sugars,Other Sweets,No Species Assignment,1,0,394,1.3,0,0.2,98,0,0,3,0.3,3,3,5,38,0.01,0,0,0,0,0,0.004,0.003,0.007,0,0,0,0
"Tangerine (sandara), juice",Juice,Other Fruits,Other Fruits And Vegetables,Added Sugars,Sodas/Sugar-Sweetened Beverages,Tangerine,1,195,46,88.3,0.6,0.2,10.3,0.2,0.4,12,0.2,11,20,178,1,0.03,0.1,13,25,0,152,0.04,0.03,0.1,21,21,0,37
"Tangerine (sandara), juice, commercial",Sugar-Sweetened Beverages,Others,Others,Added Sugars,Sodas/Sugar-Sweetened Beverages,No Species Assignment,0.22,195,46,88.3,0.6,0.2,10.3,0.2,0.4,12,0.2,11,20,178,1,0.03,0.1,13,25,0,152,0.04,0.03,0.1,21,21,0,37
"Tomato, paste, with added salt",Other Vegetables,Others,Others,Added Sugars,No GDR Assignment,No Species Assignment,1,329,78,76.2,3.2,0.3,13.6,4.1,3,30,1.7,43,71,911,630,0.57,4,113,225,0,1350,0.13,0.13,2.8,17,17,0,15
"Tomato, sauce (Ketchup)",Sweets And Ice Cream,Others,Others,Added Sugars,No GDR Assignment,No Species Assignment,1,489,115,67.5,1.6,0.2,26.1,1.5,3.4,13,0.7,16,28,316,918,0.18,0.5,22,43,0,260,0,0.1,1.3,16,16,0,0
"Tomato, soup, condensed, canned",Sweets And Ice Cream,Others,Others,Added Sugars,No GDR Assignment,No Species Assignment,1,227,54,84,1,0.3,10.8,1.9,2.3,10,0.4,13,21,290,545,0.3,0.5,11,22,0,130,0.3,0,1.3,3,3,0,4
Vegetable Samosa,Purchased Deep-Fried Foods,Others,Others,No PHDI Assignment,Deep-Fried Foods,No Species Assignment,1,1361,325,30.2,8.5,13.1,40.2,6.2,1.7,55,3.8,35,144,333,243,1.76,1,138,237,39,1185,0.46,0.31,3.2,227,52,0.33,23.7
Wafers,Refined Grains And Baked Goods,Others,Others,Added Sugars,Other Sweets,No Species Assignment,1,0,502,0,3.84,23.95,70.64,1.6,0,27,0.43,16,72,117,103,0.43,3.7,0,0,0,0,0.037,0.12,2.183,75,1,0,0
"Watermelon, juice, commercial",Juice,Others,Others,Added Sugars,Sodas/Sugar-Sweetened Beverages,No Species Assignment,0.2,111.8,0,0,1.3,0.9,16.2,1.1,0,18,0.4,24.7,20.2,260.4,4.5,0.2,0,83.1,0,0,0,2,0,0.4,0.3,4.5,0,22.4
Wow Rings,Sweets And Ice Cream,Others,Others,Added Sugars,Other Sweets,No Species Assignment,1,0,5.4,0,0.1,0.3,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mango (embe), juice, commercial",Sweets And Ice Cream,Others,Others,Added Sugars,Sodas/Sugar-Sweetened Beverages,No Species Assignment,0.1,192,45,86.7,0.8,0.1,8.9,3,0.6,27,0.4,18,15,147,26,0.09,0,7,13,0,78,0.02,0.03,0.26,26,26,0,88
Animal fat/ lard,No GDQS Assignment,Others,Others,Animal Fat,No GDR Assignment,No Species Assignment,1,3660,890,1,0,99,0,0,0.3,1,0.1,0,3,1,2,0.11,0,0,0,0,0,0,0,0,0,0,0,0
Fish liver oil,Liquid Oils,Others,Others,Animal Fat,No GDR Assignment,No Species Assignment,1,3700,900,0,0,100,0,0,0,0,0,0,0,0,0,0,0,30000,30000,30000,0,0,0,0,0,0,0,0
"Margarine, 20% fat",No GDQS Assignment,Others,Others,Animal Fat,No GDR Assignment,No Species Assignment,1,728,177,78.8,0,19.5,0.4,0,1.3,0,0,1,14,25,733,0,0,819,870,768,610,0,0,0,0,0,0,0
"Margarine, 60% fat",No GDQS Assignment,Others,Others,Animal Fat,No GDR Assignment,No Species Assignment,1,2230,541,37.7,0.3,59.8,0.5,0,1.7,21,0,2,16,30,700,0,0,819,870,768,610,0.01,0.03,0,1,1,3.65,0.1
"Margarine, 80% fat",No GDQS Assignment,Others,Others,Animal Fat,No GDR Assignment,No Species Assignment,1,3070,748,15,0.1,83,0,0,1.9,10,0,2,10,5,300,0,0,819,870,768,610,0,0,0,1,1,0.06,0.15
"Chicken (unspecified part), without bone, meat&skin, raw",Poultry And Game Meat,"Meat, Poultry And Fish","Meat, Poultry And Fish",Chicken And Substitutes,No GDR Assignment,Chicken,0.65,864,207,63.6,18.7,13,3.8,0,0.9,13,2.5,20,243,152,68,0.89,16,75,75,75,0,0.14,0.12,6.4,11,11,0.63,1.2
