food_item,gdqs_category,mdd_adult,mdd_child,phdi_category,gdr_category,species,Edible conversion factor,Energy(kJ),Energy (kcal),Water(g),Protein(g),Fat(g),Carbohydrate available (g),Fibre(g),Ash(g),Ca(mg),Fe(mg),Mg(mg),P(mg),K(mg),Na(mg),Zn(mg),Se(mcg),Vit A-RAE(mcg),Vit A-RE(mcg),Retinol (mcg),b-carotene equivalent (mcg),Thiamin (mg),Riboflavin (mg),Niacin(mg),Dietary Folate Eq.(mcg),Food folate (mcg),Vit B12 (mcg),Vit C(mg)
"Green Grams (ndengu), dry, raw",Legumes,"Pulses (Beans, Peas And Lentils)",Legumes And Nuts,Legumes,Legumes,Green gram,1,1310,311,11.6,27.2,1.7,38.4,16.7,4.4,151,7.6,208,280,989,26,2.62,23,9,18,0,111,0.52,0.2,2.2,607,607,0,3
"Green Grams (ndengu), dry, unsoaked, boiled",Legumes,"Pulses (Beans, Peas And Lentils)",Legumes And Nuts,Legumes,Legumes,Green gram,1,487,116,67.1,10.1,0.6,14.3,6.2,1.7,49,2.4,66,94,276,9,0.88,9,3,7,0,41,0.13,0.06,0.5,113,113,0,1
"Green Grams (ndengu), dry, water-soaked, boiled in different water",Legumes,"Pulses (Beans, Peas And Lentils)",Legumes And Nuts,Legumes,Legumes,Green gram,1,487,116,67.1,10.1,0.6,14.3,6.2,1.7,49,2.4,66,94,276,9,0.88,9,3,7,0,41,0.13,0.06,0.5,113,113,0,1
"Green peas (minji), dry, raw",Legumes,"Pulses (Beans, Peas And Lentils)",Legumes And Nuts,Legumes,Legumes,Green pea,1,1370,324,10.3,20.4,1.9,47.8,17,2.5,58,4.8,117,321,933,17,3.21,50,5,11,0,64,0.88,0.17,2.6,110,110,0,5
"Green peas (minji), dry, unsoaked, boiled",Legumes,"Pulses (Beans, Peas And Lentils)",Legumes And Nuts,Legumes,Legumes,Green pea,1,506,120,66.8,7.6,0.7,17.7,6.3,1,20,1.5,38,107,259,7,1.07,19,2,4,0,24,0.21,0.05,0.6,20,20,0,1
"Green peas (minji), dry, water-soaked, boiled in different water",Legumes,"Pulses (Beans, Peas And Lentils)",Legumes And Nuts,Legumes,Legumes,Green pea,1,506,120,66.8,7.6,0.7,17.7,6.3,1,20,1.5,38,107,259,7,1.07,19,2,4,0,24,0.21,0.05,0.6,20,20,0,1
Kidney Bean Stew,Legumes,"Pulses (Beans, Peas And Lentils)",Legumes And Nuts,Legumes,Legumes,Kidney bean,1,263,63,83.1,3.5,1.4,7.2,3.7,1.1,20,1,17,92,125,165,0.44,1,4,8,0,50,0.04,0.03,0.3,24,24,0,1.5
Lentil Stew,Legumes,"Pulses (Beans, Peas And Lentils)",Legumes And Nuts,Legumes,Legumes,Lentil,1,455,108,72.8,7.1,3,11.1,4.5,1.6,26,2,28,81,183,275,0.93,8,3,7,0,40,0.08,0.05,0.6,22,22,0,4.3
"Lentils (kamande), whole, dry, raw",Legumes,"Pulses (Beans, Peas And Lentils)",Legumes And Nuts,Legumes,Legumes,Lentil,1,1340,318,9.95,28.4,0.6,41.3,16.8,3,83,7.4,101,308,629,11,4,33,1,2,0,10,0.4,0.19,2.54,132,132,0,6.8
"Lentils (kamande), whole, dry, unsoaked, boiled",Legumes,"Pulses (Beans, Peas And Lentils)",Legumes And Nuts,Legumes,Legumes,Lentil,1,506,120,66,10.7,0.2,15.6,6.3,1.1,28,2.4,33,104,178,5,1.22,13,0,1,0,4,0.1,0.05,0.6,25,25,0,2
"Lentils (kamande), whole, dry, water-soaked, boiled in different water",Legumes,"Pulses (Beans, Peas And Lentils)",Legumes And Nuts,Legumes,Legumes,Lentil,1,506,120,66,10.7,0.2,15.6,6.3,1.1,21,1.7,24,72,148,5,0.85,8,0,1,0,4,0.1,0.05,0.6,25,25,0,2
"Pigeon peas (mbaazi), dry, raw",Legumes,"Pulses (Beans, Peas And Lentils)",Legumes And Nuts,Legumes,Legumes,Pigeon pea,1,1272,303,12.1,20.9,2.1,38.9,22.1,3.8,172,5.4,128,272,1200,21,2.9,15,19,38,0,230,0.72,0.14,2.34,340,340,0,1.5
Pigeon Peas Stew,Legumes,"Pulses (Beans, Peas And Lentils)",Legumes And Nuts,Legumes,Legumes,Pigeon pea,1,494,118,70.9,5.7,4.4,11,6.1,1.9,47,1.4,33,69,260,281,0.74,4,8,16,0,93,0.13,0.03,0.5,47,47,0,2.9
"Pigeon peas, dry, unsoaked, boiled",Legumes,Other Vegetables,Other Fruits And Vegetables,Legumes,Legumes,Pigeon pea,1,553,132,61.8,9.1,0.9,16.9,9.6,1.7,65,2,48,106,391,8,1.13,7,8,17,0,100,0.2,0.05,0.7,74,74,0,0
"Pigeon peas, dry, water-soaked, boiled in different water",Legumes,Other Vegetables,Other Fruits And Vegetables,Legumes,Legumes,Pigeon pea,1,553,132,61.8,9.1,0.9,16.9,9.6,1.7,65,2,48,106,391,8,1.13,7,8,17,0,100,0.2,0.05,0.7,74,74,0,0
"Soybean, dry, raw",Legumes,"Pulses (Beans, Peas And Lentils)",Legumes And Nuts,Legumes,Legumes,Soybean,1,1605,386,12.7,34,19.1,9.7,19.3,5.2,228,7.3,203,384,1730,7,3.83,22,0,1,0,5,0.73,0.15,2.59,359,359,0,0
"Soybean, dry, unsoaked, boiled",Legumes,"Pulses (Beans, Peas And Lentils)",Legumes And Nuts,Legumes,Legumes,Soybean,1,661,159,64,14,7.9,4,7.9,2.2,81,2.5,72,142,533,4,1.42,9,0,0,0,2,0.19,0.05,0.7,74,74,0,0
"Soybean, dry, water-soaked, boiled in different water",Legumes,"Pulses (Beans, Peas And Lentils)",Legumes And Nuts,Legumes,Legumes,Soybean,1,661,159,64,14,7.9,4,7.9,2.2,81,2.5,72,142,533,4,1.42,9,0,0,0,2,0.19,0.05,0.7,74,74,0,0
Sossi Soya,Legumes,"Pulses (Beans, Peas And Lentils)",Legumes And Nuts,Legumes,Legumes,Soybean,1,1385,331,0,40,11,18,11.3,0,0,33.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mashed Cassava and Pigeon Peas (Kimanga cha Mihoso),Legumes,"Grains, White Roots And Tubers And Plantains;Pulses (Beans, Peas And Lentils)","Grains, White Roots And Tubers And Plantains;Legumes And Nuts",Legumes;Tubers And Potatoes,Legumes,Cassava;Pigeon pea,1,823,194,46.8,4.8,0.6,39.6,5.8,2.4,94,1.6,44,93,469,303,0.85,4,4,8,0,49,0.13,0.07,0.8,52,52,0,1.5
Kimanga (Smoked Green Bananas and Kidney Beans),Legumes,"Grains, White Roots And Tubers And Plantains;Pulses (Beans, Peas And Lentils)","Grains, White Roots And Tubers And Plantains;Legumes And Nuts",Legumes;Tubers And Potatoes,Legumes,Banana;Kidney bean,1,614,146,57.7,6.5,0.9,24.1,7.7,3.1,46,2,43,188,401,485,0.89,2,2,3,0,20,0.1,0.09,0.9,48,48,0,0.8
Wukunu (sweet potatoes & dehulled black beans),Legumes,"Grains, White Roots And Tubers And Plantains;Pulses (Beans, Peas And Lentils)","Grains, White Roots And Tubers And Plantains;Legumes And Nuts",Legumes;Tubers And Potatoes,Legumes,Sweet potato;Black bean,1,396,94,73,4.1,0.6,15.8,4.6,1.9,21,1.5,33,82,288,229,0.41,1,1,1,0,8,0.1,0.04,0.7,9,9,0,12.6
"Mukimo wa Njahi (Black Beans, Green Bananas & Potatoes)",Legumes,"Pulses (Beans, Peas And Lentils);Dark Green Leafy Vegetables",Legumes And Nuts;Vitamin A-Rich Fruits And Vegetables,Legumes;Tubers And Potatoes,Legumes,Black bean;Banana;Potato,1,693,164,53.7,9.5,0.6,26.5,7.2,2.4,31,3.2,65,152,606,273,1.06,4,0,0,0,2,0.2,0.08,1.2,19,19,0,4.2
Muthokoi (Dehusked Maize and Beans),Legumes,"Grains, White Roots And Tubers And Plantains;Pulses (Beans, Peas And Lentils)","Grains, White Roots And Tubers And Plantains;Legumes And Nuts",Legumes;Whole Cereals,Legumes,Maize;Bean,1,677,161,62.7,5,5.9,19.8,4.6,2,27,1.3,25,120,185,325,0.59,1,0,0,0,2,0.07,0.04,0.4,31,31,0,0.4
Ndoto (Red Kidney Beans & Red Sorghum),Legumes,"Grains, White Roots And Tubers And Plantains;Pulses (Beans, Peas And Lentils)","Grains, White Roots And Tubers And Plantains;Legumes And Nuts",Legumes;Whole Cereals,Legumes,Kidney bean;Sorghum,1,806,193,56.4,5.7,7.9,21.3,7,1.9,25,1.8,53,162,211,270,0.89,6,0,1,0,3,0.08,0.05,1,35,35,0,0.4
Anise seed,Nuts And Seeds,Nuts And Seeds,Legumes And Nuts,Nuts And Peanuts,Nuts And Seeds,Anise,1,1610,384,9.5,14.9,15.9,38.1,14.6,7,648,37,170,440,1440,16,5.3,5,16,32,0,0,0.34,0.29,3.1,10,10,0,21
"Bambara groundnuts, dried, raw",Nuts And Seeds,Nuts And Seeds,Legumes And Nuts,Nuts And Peanuts,Nuts And Seeds,Bambara groundnut,1,1340,321,9.5,18.1,6,34.6,28.2,3.6,39,3.3,166,190,1330,2,1.81,0,0,0,0,0,0.04,0.07,2.3,0,0,0,0
"Cardamom, seeds, ground",Nuts And Seeds,Nuts And Seeds,Legumes And Nuts,Nuts And Peanuts,Nuts And Seeds,Cardamom,1,1350,322,8.3,8.5,6.7,42.4,28,5.5,383,14,215,165,1120,18,7.47,1,0,0,0,0,0.21,0.18,1.1,4,4,0,21
"Coconut meat, dried (desiccated)",No GDQS Assignment,Nuts And Seeds,Legumes And Nuts,Nuts And Peanuts,Nuts And Seeds,Coconut,1,2730,663,4.3,6.7,63.7,7.6,16.1,1.6,25.7,2.7,88.8,210,536,36.5,2,3,0,0,0,0,0.08,0.1,0.6,9,9,0,2
"Coconut, fresh, mature fruit, flesh",No GDQS Assignment,Nuts And Seeds,Legumes And Nuts,Nuts And Peanuts,Nuts And Seeds,Coconut,0.48,1740,423,37.1,4.4,39,8.5,10.1,1,18,2.3,47,146,125,29,0.73,3,0,0,0,0,0.08,0.08,1,14,14,0,2.6
"Coconut, fresh, young or immature, flesh",No GDQS Assignment,Nuts And Seeds,Legumes And Nuts,Nuts And Peanuts,Nuts And Seeds,Coconut,1,736,176,68,2,10.8,17.3,1,0.9,34.7,1.2,35,56,266,12,0.42,4,0,0,0,0,0.03,0.6,1.2,20,20,0,5.8
"Coconut, Milk",No GDQS Assignment,Nuts And Seeds,Legumes And Nuts,Nuts And Peanuts,Nuts And Seeds,Coconut,1,579,140,82.4,1,14.3,1.8,0.3,0.3,5,0.5,10,43,131,19,0.26,2,0,0,0,0,0.02,0.01,0,14,14,0,0.9
Groundnut Sauce,Nuts And Seeds,Nuts And Seeds,Legumes And Nuts,Nuts And Peanuts,Nuts And Seeds,Groundnut,1,1240,298,50.2,10.6,23.4,9.6,3.5,2.7,132,2.3,101,209,366,492,1.2,7,28,28,28,2,0.28,0.21,5,27,27,0.17,0
"Groundnuts, roasted",Nuts And Seeds,Nuts And Seeds,Legumes And Nuts,Nuts And Peanuts,Nuts And Seeds,Groundnut,1,0,587,0,24.35,49.66,21,8.4,0,58,1.58,178,363,634,410,2.77,9.3,0,0,0,0,0.152,0.197,14.355,0,97,0,0
"Jack fruit, seed, mature, dry, raw",Nuts And Seeds,Nuts And Seeds,Legumes And Nuts,Nuts And Peanuts,Nuts And Seeds,Jackfruit,1,654,156,51.8,4.8,0.6,24.4,16.8,1.5,84,5.9,126,205,463,8,1.56,1,0,0,0,0,0.15,0.07,0.6,148,148,0,4.3
"Mustard Seeds, Dry, Raw",Nuts And Seeds,Nuts And Seeds,Legumes And Nuts,Nuts And Peanuts,Nuts And Seeds,Mustard,1,2160,522,8.2,18.8,39.7,15.5,13.7,4.2,433,16,220,587,380,2,3.9,70,3,6,0,37,0.65,0.26,3.7,75,75,0,0
"Nut, almond, with or without skin, raw, unsalted",Nuts And Seeds,Nuts And Seeds,Legumes And Nuts,Nuts And Peanuts,Nuts And Seeds,Almond,1,2530,612,4.6,20.2,52.8,8.6,11,2.9,249,4.1,283,469,724,1,3.44,4,1,2,0,9,0.18,0.93,3.7,37,37,0,0.2
"Nut, cashew, dry, raw, unsalted",Nuts And Seeds,Nuts And Seeds,Legumes And Nuts,Nuts And Peanuts,Nuts And Seeds,Cashew,1,2470,595,5.9,16.5,48,21.5,5.8,2.3,33,4.9,244,578,536,11,5.36,32,1,1,0,6,0.65,0.25,1.8,24,24,0,0
"Nut, ground nut, with skin, unsalted, dry, raw",Nuts And Seeds,Nuts And Seeds,Legumes And Nuts,Nuts And Peanuts,Nuts And Seeds,Groundnut,1,2450,593,5.9,20.1,48.4,15,8.3,2.3,117,5.5,225,232,630,1,2.24,12,0,1,0,4,0.85,0.14,15,110,110,0,0
"Nut, macadamia, raw, unsalted",Nuts And Seeds,Nuts And Seeds,Legumes And Nuts,Nuts And Peanuts,Nuts And Seeds,Macadamia,0.27,2860,696,7.7,6.8,70.9,2,11.2,1.4,44,2.2,100,276,308,5,1.3,10,0,0,0,0,0.27,0.1,2,114,114,0,4.6
"Nut, pistachio, raw, unsalted",Nuts And Seeds,Nuts And Seeds,Legumes And Nuts,Nuts And Peanuts,Nuts And Seeds,Pistachio,1,2450,591,4.2,21,48,13.8,10.1,3,116,4.8,132,503,1030,5,2.07,6,16,31,0,187,0.81,0.17,1.2,63,63,0,1.4
Peanut Butter,Nuts And Seeds,Nuts And Seeds,Legumes And Nuts,Nuts And Peanuts,Nuts And Seeds,Groundnut,1,2450,593,5.9,20.1,48.4,15,8.3,2.3,117,5.5,225,232,630,1,2.24,12,0,1,0,4,0.85,0.14,15,110,110,0,0
"Seed, Pumpkin (malenge), hulled & dried, unsalted",Nuts And Seeds,Nuts And Seeds,Legumes And Nuts,Nuts And Peanuts,Nuts And Seeds,Pumpkin,1,2380,575,8,24.3,47.6,9.6,5.8,4.7,50,5.5,519,1140,796,19,7.24,9,19,38,0,228,0.33,0.16,1.6,56,56,0,1.9
"Seed, pumpkin, hulled & dried, unsalted",Nuts And Seeds,Nuts And Seeds,Legumes And Nuts,Nuts And Peanuts,Nuts And Seeds,Pumpkin,1,2380,575,8,24.3,47.6,9.6,5.8,4.7,50,5.5,519,1140,796,19,7.24,9,19,38,0,228,0.33,0.16,1.6,56,56,0,1.9
"Seed, sesame (sim sim) unsalted, dry, raw",Nuts And Seeds,Nuts And Seeds,Legumes And Nuts,Nuts And Peanuts,Nuts And Seeds,Sesame,1,2490,602,4.9,15.3,54.1,6.4,14.3,5,1430,9.7,333,803,322,7,1.72,21,0,1,0,5,1.01,0.34,5.1,103,103,0,0
"Seed, sunflower, unsalted, dry, raw",Nuts And Seeds,Nuts And Seeds,Legumes And Nuts,Nuts And Peanuts,Nuts And Seeds,Sunflower,0.52,2460,595,5.9,18.5,49.9,14.7,10.6,2.5,98,5,362,670,450,0,6,61,1,1,0,7,0.86,0.2,14.2,224,224,0,0
Sim Sim,Nuts And Seeds,Nuts And Seeds,Legumes And Nuts,Nuts And Peanuts,Nuts And Seeds,Sesame,1,2490,602,4.9,15.3,54.1,6.4,14.3,5,1430,9.7,333,803,322,7,1.72,21,0,1,0,5,1.01,0.34,5.1,103,103,0,0
Siro (Semolina & Nuts),Nuts And Seeds,"Grains, White Roots And Tubers And Plantains;Nuts And Seeds","Grains, White Roots And Tubers And Plantains;Legumes And Nuts",Nuts And Peanuts,Nuts And Seeds,Wheat;Groundnut;Cashew;Almond,1,1720,412,28.4,4.3,26.1,39.4,1.1,0.8,81,0.5,19,105,140,24,0.66,4,196,205,187,105,0.03,0.18,0.3,9,9,0.32,0
"Water Melon, Seed Kernel, Dry, Raw",Nuts And Seeds,Nuts And Seeds,Legumes And Nuts,Nuts And Peanuts,Nuts And Seeds,Watermelon,1,2450,590,5,30,47.5,7.6,6,3.7,69,7.1,513,706,433,99,3.4,10,0,0,0,0,0.12,0.2,3.1,58,58,0,0
"Baking powder, dry powder",No GDQS Assignment,Others,Others,No PHDI Assignment,No GDR Assignment,No Species Assignment,1,760,179,4.9,0.1,0.2,43.9,0.8,50.2,4280,9.7,34,8410,10200,8850,0.89,0,0,0,0,0,0,0,0,0,0,0,0
"Baking soda (bicarbonate) (magadi), dry powder",No GDQS Assignment,Others,Others,No PHDI Assignment,No GDR Assignment,No Species Assignment,0.9,0,0,0.3,0,0,0,0,36.9,0,0,0,0,0,27400,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bay leaf, dried",No GDQS Assignment,Others,Others,No PHDI Assignment,No GDR Assignment,No Species Assignment,1,1480,353,5.4,7.6,8.4,48.7,26.3,3.6,832,43,120,112,530,23,3.7,3,309,618,0,3710,0.01,0.42,2,180,180,0,46.5
Black Tea,No GDQS Assignment,Others,Others,No PHDI Assignment,No GDR Assignment,No Species Assignment,1,1270,299,5.1,20.2,0,50.2,8.5,16,118,2.3,272,239,6040,72,1.7,15,0,0,0,1,0,0.99,10.8,103,103,0,0
"Chilli (pilipili), fresh, raw",No GDQS Assignment,Others,Others,No PHDI Assignment,No GDR Assignment,No Species Assignment,0.9,188,45,85.7,1.2,0.4,6.9,4.8,1.2,15,1.2,30,51,320,3,0.27,1,45,91,0,545,0.09,0.11,0.9,23,23,0,94.1
"Chilli, dried",No GDQS Assignment,Others,Others,No PHDI Assignment,No GDR Assignment,No Species Assignment,1,1280,309,12.6,13.9,9.9,25.5,31.2,7,142,6.2,175,274,2250,19,1.66,19,195,390,0,2342,0.95,0.43,6.9,52,52,0,31.4
"Cinnamon, dried, ground",No GDQS Assignment,Others,Others,No PHDI Assignment,No GDR Assignment,No Species Assignment,1,1010,244,13.1,2.8,2.6,26.3,52.3,2.9,1183,8.3,54,21,482,17,2,3,3,7,0,39,0.02,0.07,1.3,28,28,0,27.9
"Coconut, fresh, water",No GDQS Assignment,Others,Others,No PHDI Assignment,No GDR Assignment,No Species Assignment,1,98,23,93.9,0.8,0.1,4.8,0,0.4,24,0.2,11,14,130,5,0.13,1,0,0,0,0,0.01,0.05,0.1,14,14,0,2.5
"Coffee, black",No GDQS Assignment,Others,Others,No PHDI Assignment,No GDR Assignment,No Species Assignment,1,1310,311,3.1,16.1,1,50.4,20,9.9,145,3.9,350,320,3690,83,0.71,9,0,0,0,0,0,1,42.9,13,13,0,2
"Coffee, Cappuchino",No GDQS Assignment,Milk And Dairy Products;Others,Milk And Dairy Products;Others,Dairy,No GDR Assignment,Coffee;Cow,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Coffee, instant, dry powder or granules",No GDQS Assignment,Others,Others,No PHDI Assignment,No GDR Assignment,No Species Assignment,1,1310,311,3.1,16.1,1,50.4,20,9.9,145,3.9,350,320,3690,83,0.71,9,0,0,0,0,0,1,42.9,13,13,0,2
"Cumin seeds (jira), dried, raw",No GDQS Assignment,Others,Others,No PHDI Assignment,No GDR Assignment,No Species Assignment,1,1790,432,8.7,13.7,25.8,26.1,20.4,5.3,854,38.4,330,308,1213,124,4.05,5,44,88,0,527,0.55,0.19,3.2,90,90,0,15
"Curry leaves, fresh, raw",No GDQS Assignment,Others,Others,No PHDI Assignment,No GDR Assignment,No Species Assignment,0.83,355,86,66.9,7.7,1.3,2.5,16.8,4.9,740,6.9,201,70,584,19,1.18,17,645,1290,0,7740,0.08,0.17,1.6,94,94,0,7
Curry powder,No GDQS Assignment,Others,Others,No PHDI Assignment,No GDR Assignment,No Species Assignment,1,1430,344,10,10.8,13.8,30.6,27.2,7.6,479,34.3,333,301,1728,52,4.08,17,80,161,0,965,0.25,0.28,3.5,56,56,0,11
"Fenugreek leaves, fresh, raw",No GDQS Assignment,Others,Others,No PHDI Assignment,No GDR Assignment,No Species Assignment,0.44,158,38,87.3,4.4,0.2,2.2,4.9,1,185,7.8,61,48,96,66,0.54,4,609,1220,0,7300,0.12,0.26,1.2,75,75,0,80.1
"Fenugreek seeds, raw",No GDQS Assignment,Others,Others,No PHDI Assignment,No GDR Assignment,No Species Assignment,1,1290,309,9.8,21.4,6.4,23.4,36.1,3,160,14.1,183,370,530,48,2.93,8,8,15,0,91,0.34,0.29,1.5,57,57,0,3
Garam masala,No GDQS Assignment,Others,Others,No PHDI Assignment,No GDR Assignment,No Species Assignment,1,1530,368,10.1,15.6,15.1,31,22.6,5.6,760,32.6,330,390,1450,97,3.8,17,28,57,0,340,0.35,0.33,2.5,0,0,0,0
"Grasshopper (tsenene), Brown, Fresh, Raw",No GDQS Assignment,Others,Others,No PHDI Assignment,No GDR Assignment,No Species Assignment,1,708,170,71.9,12.8,12.8,0.3,1.41,0.7,7,3.7,10,35,75,66,3.57,0,174,174,174,0,0,1.04,0.2,1,1,0,3.2
"Grasshopper (tsenene), Green, Fresh, Raw",No GDQS Assignment,Others,Others,No PHDI Assignment,No GDR Assignment,No Species Assignment,1,872,210,66.3,14.5,16.3,0.7,1.3,0.9,9,5.6,11,47,125,121,5.81,0,94,94,94,0,0,0.93,3.6,1,1,0,0.6
"Parsley, fresh, raw",No GDQS Assignment,Others,Others,No PHDI Assignment,No GDR Assignment,No Species Assignment,0.82,220,52,81.4,5.9,0.2,4.2,5.1,3.2,390,5.06,35,175,1290,54,0.88,0,354,708,0,4250,0.15,0.04,1.1,55,55,0,119
"Pepper, ground, black, dry, raw",No GDQS Assignment,Others,Others,No PHDI Assignment,No GDR Assignment,No Species Assignment,1,1250,297,11.8,10.3,2.7,44.7,26.3,4.3,463,19.4,253,188,576,25,1.28,3,14,29,0,171,0.09,0.14,0.7,10,10,0,0
"Spice, mixed or all spice",No GDQS Assignment,Others,Others,No PHDI Assignment,No GDR Assignment,No Species Assignment,1,1490,360,8.5,9.4,16.3,26.3,35.8,3.8,727,35.5,203,277,1440,90,3.65,3,55,109,0,656,0.25,0.45,4.9,52,52,0,30
Tea Leaves,No GDQS Assignment,Others,Others,No PHDI Assignment,No GDR Assignment,No Species Assignment,1,1270,299,5.1,20.2,0,50.2,8.5,16,118,2.3,272,239,6040,72,1.7,15,0,0,0,1,0,0.99,10.8,103,103,0,0
"Termite (chiswa), Dry, Raw",No GDQS Assignment,Others,Others,No PHDI Assignment,No GDR Assignment,No Species Assignment,1,2310,557,7,35,43.6,3.4,5.5,5.4,91,35.2,5,609,388,1969,0.09,4,100,100,100,0,0.08,3.56,3.9,0,0,0,0.3
"Termite (chiswa), Fresh, Raw",No GDQS Assignment,Others,Others,No PHDI Assignment,No GDR Assignment,No Species Assignment,1,1530,367,36.8,30.9,27,0,2.7,3.8,1460,8.3,15,780,200,4,0,0,224,224,224,0,0,4.18,2.8,0,0,0,0.7
Tsiswa (Termites),No GDQS Assignment,Others,Others,No PHDI Assignment,No GDR Assignment,No Species Assignment,1,2140,515,10.5,31.6,38.8,7.3,5.1,6.8,137,29.8,13,584,412,2280,0.41,5,95,96,94,10,0.05,3.15,2.9,4,4,0.25,1.3
"Turmeric, dried, ground",No GDQS Assignment,Others,Others,No PHDI Assignment,No GDR Assignment,No Species Assignment,1,1260,300,13.7,6.3,3.1,51.7,20,5.2,500,39,225,284,1250,25,3.6,4.3,80,161,0,965,0.26,0.23,3.4,85,85,0,30
"Water, tap",No GDQS Assignment,Others,Others,No PHDI Assignment,No GDR Assignment,No Species Assignment,1,0,0,99.95,0,0,0,0,0.05,3,0,1,0,1,3,0,0.2,0,0,0,0,0,0,0,0,0,0,0
"Yeast, dry powder",No GDQS Assignment,Others,Others,No PHDI Assignment,No GDR Assignment,No Species Assignment,1,1460,347,7.9,35.7,4.9,30.5,19.3,6.6,120,3.4,230,1690,2000,50,8,1,0,0,0,0,2.8,4,8.5,2000,2000,0,0
"Camel blood, raw",Red Meat,"Meat, Poultry And Fish","Meat, Poultry And Fish",Red Meat,Unprocessed Red Meat,Camel,1,348,42,78.4,15.8,0.9,2.7,0,2.2,8,20.6,6,33,114,313,0.65,12,74,74,74,0,0.04,0.05,0.2,0,0,0,0
Camel Meat,Red Meat,"Meat, Poultry And Fish","Meat, Poultry And Fish",Red Meat,Unprocessed Red Meat,Camel,1,826,197,60.5,18.6,8.9,10.8,0,1.4,4,3.8,13,134,325,49,1.93,9,1,2,0,10,0.04,0.2,6,8,8,1.7,0
Camel Meat (Nyirinyiri),Red Meat,"Meat, Poultry And Fish","Meat, Poultry And Fish",Red Meat,Unprocessed Red Meat,Camel,1,2170,521,8.5,34.6,33.6,20,0,3.3,7,6.9,21,213,407,346,3.62,17,1,3,0,15,0.04,0.31,8.3,12,12,2.31,0
"Cow's blood, raw",Red Meat,"Meat, Poultry And Fish","Meat, Poultry And Fish",Red Meat,Unprocessed Red Meat,Cow,1,403,95,75,13.8,0.9,8,0,2.4,14,18.8,5,20,199,469,1.13,21,74,74,74,0,0.08,0.09,0.35,0,0,0,0
Fresh blood and Fresh milk,Red Meat,"Meat, Poultry And Fish;Milk And Dairy Products","Meat, Poultry And Fish;Milk And Dairy Products",Red Meat,Unprocessed Red Meat,Cow,1,340,81,82.5,6.1,3.1,7,0,1.2,101,4.7,11,105,161,148,0.79,8,0,0,49,0,0.02,0.23,0.1,0,0,0,0
"Goat blood, raw",Red Meat,"Meat, Poultry And Fish","Meat, Poultry And Fish",Red Meat,Unprocessed Red Meat,Goat,1,290,69,86.4,3.8,3.9,4.9,0,1.1,8,27.2,6,23,169,216,0.65,12,0,0,0,0,0,0,0,0,0,0,0
"Goat liver, raw",Red Meat,"Meat, Poultry And Fish","Meat, Poultry And Fish",Red Meat,Unprocessed Red Meat,Goat,0.99,485,115,74.8,20.2,3.9,0,0,1.3,12,6.6,18,308,225,64,3.48,48,15700,15700,15700,0,0.2,0.37,12.9,178,178,64,14
"Goat Meat, stewed",Red Meat,"Meat, Poultry And Fish","Meat, Poultry And Fish",Red Meat,Unprocessed Red Meat,Goat,1,925,222,59.4,17.1,14.6,5.2,0.8,2.9,16,2.1,25,225,235,783,3.04,23,21,29,13,94,0.11,0.17,2.9,8,8,1.52,8.2
"Goat Meat, stir-fried",Red Meat,"Meat, Poultry And Fish","Meat, Poultry And Fish",Red Meat,Unprocessed Red Meat,Goat,1,1600,383,30.2,32.1,23.3,10.4,1.7,2.3,33,4.1,50,424,465,221,5.74,43,42,60,24,214,0.2,0.33,5.4,14,14,2.84,18.7
"Goat, lean, boiled",Red Meat,"Meat, Poultry And Fish","Meat, Poultry And Fish",Red Meat,Unprocessed Red Meat,Goat,0.62,731,174,62,29.1,6.4,0,0,1.6,12,9.9,34,317,217,137,5.46,33,8,8,8,0,0,0.28,3.8,2,2,3,0
"Goat, lean, grilled",Red Meat,"Meat, Poultry And Fish","Meat, Poultry And Fish",Red Meat,Unprocessed Red Meat,Goat,0.63,710,169,63.1,28.3,6.2,0,0,1.5,14,9.6,35,332,281,189,5.03,32,9,9,9,0,0.17,0.3,5.2,2,2,3,1
"Goat, lean, raw",Red Meat,"Meat, Poultry And Fish","Meat, Poultry And Fish",Red Meat,Unprocessed Red Meat,Goat,0.71,500,119,74.6,19.5,4.3,0.6,0,1,10,7.2,29,276,243,156,3.66,22,7,7,7,0,0.17,0.23,4.4,2,2,3.09,0.4
"Goat, liver, boiled",Red Meat,"Meat, Poultry And Fish","Meat, Poultry And Fish",Red Meat,Unprocessed Red Meat,Goat,0.99,740,176,61.9,30.5,6,0,0,2,14,9.4,22,326,205,58,5.27,73,19000,19000,19000,0,0.21,0.49,9.8,175,175,0,0
"Goat, medium fat, boiled",Red Meat,"Meat, Poultry And Fish","Meat, Poultry And Fish",Red Meat,Unprocessed Red Meat,Goat,0.66,820,196,56,27.8,9.4,0,0,1.5,12,2.7,25,273,177,106,4.86,38,20,20,20,0,0.13,0.22,3.3,1,1,2,1
